date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:39:31	12880/12880	---M--	200	added ('OK')	application/javascript	date:Mon,%2022%20Jan%202018%2013:55:38%20GMT	http://creative-era.com/era/js/jquery.scrollme.js	E:/theme/comning%20soon/creative-era.com/era/js/jquery.scrollme.js	(from http://creative-era.com/era/)
10:39:32	5265/5265	---M--	200	added ('OK')	application/javascript	date:Mon,%2022%20Jan%202018%2013:55:34%20GMT	http://creative-era.com/era/js/background.cycle.js	E:/theme/comning%20soon/creative-era.com/era/js/background.cycle.js	(from http://creative-era.com/era/)
10:39:34	3742/3742	---M--	200	added ('OK')	application/javascript	date:Mon,%2022%20Jan%202018%2013:55:34%20GMT	http://creative-era.com/era/js/animation.js	E:/theme/comning%20soon/creative-era.com/era/js/animation.js	(from http://creative-era.com/era/)
10:39:35	2559/2559	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Aug%202017%2013:14:00%20GMT	http://creative-era.com/era/fonts/glyphicons-halflings-regular.eot	E:/theme/comning%20soon/creative-era.com/era/fonts/glyphicons-halflings-regular.51.delayed	(from http://creative-era.com/era/css/bootstrap.css)
10:39:35	2559/2559	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Aug%202017%2013:14:00%20GMT	http://creative-era.com/era/fonts/glyphicons-halflings-regular.eot?	E:/theme/comning%20soon/creative-era.com/era/fonts/glyphicons-halflings-regular.52d41d.delayed	(from http://creative-era.com/era/css/bootstrap.css)
10:39:36	293444/293444	---M--	200	added ('OK')	application/javascript	date:Mon,%2022%20Jan%202018%2013:55:37%20GMT	http://creative-era.com/era/js/jquery-1.12.4.js	E:/theme/comning%20soon/creative-era.com/era/js/jquery-1.12.4.js	(from http://creative-era.com/era/)
10:39:36	2559/2559	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Aug%202017%2013:14:00%20GMT	http://creative-era.com/era/fonts/glyphicons-halflings-regular.woff2	E:/theme/comning%20soon/creative-era.com/era/fonts/glyphicons-halflings-regular.53.delayed	(from http://creative-era.com/era/css/bootstrap.css)
10:39:37	2559/2559	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Aug%202017%2013:14:00%20GMT	http://creative-era.com/era/fonts/glyphicons-halflings-regular.woff	E:/theme/comning%20soon/creative-era.com/era/fonts/glyphicons-halflings-regular.54.delayed	(from http://creative-era.com/era/css/bootstrap.css)
10:39:38	2559/2559	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Aug%202017%2013:14:00%20GMT	http://creative-era.com/era/fonts/glyphicons-halflings-regular.ttf	E:/theme/comning%20soon/creative-era.com/era/fonts/glyphicons-halflings-regular.55.delayed	(from http://creative-era.com/era/css/bootstrap.css)
10:39:38	2559/2559	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Aug%202017%2013:14:00%20GMT	http://creative-era.com/era/fonts/glyphicons-halflings-regular.svg	E:/theme/comning%20soon/creative-era.com/era/fonts/glyphicons-halflings-regular.56.delayed	(from http://creative-era.com/era/css/bootstrap.css)
10:39:39	3133/3133	---M--	200	added ('OK')	text/css	date:Mon,%2022%20Jan%202018%2013:55:26%20GMT	http://creative-era.com/era/css/font.css	E:/theme/comning%20soon/creative-era.com/era/css/font.css	(from http://creative-era.com/era/css/index.css)
10:39:40	4527/4527	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Dec%202017%2012:24:56%20GMT	http://creative-era.com/era/images/single-image.png	E:/theme/comning%20soon/creative-era.com/era/images/single-image.png	(from http://creative-era.com/era/css/index.css)
10:39:41	4216/4216	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Dec%202017%2012:24:57%20GMT	http://creative-era.com/era/images/slideshow-img.png	E:/theme/comning%20soon/creative-era.com/era/images/slideshow-img.png	(from http://creative-era.com/era/css/index.css)
10:39:42	4845/4845	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Dec%202017%2012:24:39%20GMT	http://creative-era.com/era/images/local-video-bg.png	E:/theme/comning%20soon/creative-era.com/era/images/local-video-bg.png	(from http://creative-era.com/era/css/index.css)
10:39:42	4812/4812	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Dec%202017%2012:25:03%20GMT	http://creative-era.com/era/images/youtube-video-bg.png	E:/theme/comning%20soon/creative-era.com/era/images/youtube-video-bg.png	(from http://creative-era.com/era/css/index.css)
10:39:43	933/933	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Dec%202017%2012:24:28%20GMT	http://creative-era.com/era/images/dotted-line.png	E:/theme/comning%20soon/creative-era.com/era/images/dotted-line.png	(from http://creative-era.com/era/css/index.css)
10:39:43	994/994	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2011%20Dec%202017%2012:25:02%20GMT	http://creative-era.com/era/images/up-arrow.svg	E:/theme/comning%20soon/creative-era.com/era/images/up-arrow.svg	(from http://creative-era.com/era/css/index.css)
10:39:44	31475/31475	---M--	200	added ('OK')	text/css	date:Mon,%2022%20Jan%202018%2013:55:32%20GMT	http://creative-era.com/era/css/style.css	E:/theme/comning%20soon/creative-era.com/era/css/style.css	(from http://creative-era.com/era/index_white.html)
10:39:45	4917/4917	---M--	200	added ('OK')	application/javascript	date:Mon,%2022%20Jan%202018%2013:55:40%20GMT	http://creative-era.com/era/js/script.js	E:/theme/comning%20soon/creative-era.com/era/js/script.js	(from http://creative-era.com/era/index_white.html)
10:39:46	5583/5583	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2011%20Dec%202017%2012:24:44%20GMT	http://creative-era.com/era/images/logo.svg	E:/theme/comning%20soon/creative-era.com/era/images/logo.svg	(from http://creative-era.com/era/index_white.html)
10:39:48	501281/501281	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Dec%202017%2012:25:59%20GMT	http://creative-era.com/era/images/Slideshow/Era_Local_Video.png	E:/theme/comning%20soon/creative-era.com/era/images/Slideshow/Era_Local_Video.png	(from http://creative-era.com/era/)
10:39:48	5583/5583	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2011%20Dec%202017%2012:24:42%20GMT	http://creative-era.com/era/images/logo-nightmode.svg	E:/theme/comning%20soon/creative-era.com/era/images/logo-nightmode.svg	(from http://creative-era.com/era/index_nightmode.html)
